player_name,hr_count,avg_hr_distance,max_hr_distance,avg_launch_speed,max_launch_speed,barrels,brl_percent
"Peralta, Luis",6,428.0,474,106.61666666666667,110.9,,
"Phillips, Connor",5,421.0,454,108.88,113.5,,
"Lynch IV, Daniel",9,420.9,447,105.28888888888889,108.2,,
"Gomber, Austin",18,419.1,453,105.73125,115.9,,
"Rolison, Ryan",11,418.7,464,103.16363636363636,111.1,,
"Bowlan, Jonathan",6,418.0,436,106.39999999999999,111.3,,
"Pilkington, Konnor",7,416.3,456,106.7,109.3,,
"Kinley, Tyler",6,415.7,450,104.7,109.2,,
"Halvorsen, Seth",7,415.4,465,107.15714285714286,113.0,,
"Armstrong, Shawn",5,415.4,443,107.82000000000001,113.7,,
"Agnos, Zach",5,415.4,450,107.04,111.4,,
"Festa, David",10,414.1,441,104.85,113.4,,
"Holmes, Grant",16,413.8,443,104.49375,110.2,,
"Senzatela, Antonio",23,413.4,466,106.1391304347826,114.7,,
"Palmquist, Carson",10,413.2,439,103.91,108.8,,
"Blalock, Bradley",17,412.6,446,104.04705882352941,111.6,,
"Rocker, Kumar",12,412.5,456,107.2,114.1,,
"Gordon, Tanner",16,412.4,452,104.85625,112.0,,
"De Los Santos, Enyel",7,412.0,450,106.47142857142856,114.0,,
"Curtiss, John",6,412.0,422,104.42,109.2,,
"Bido, Osvaldo",19,411.7,471,105.02631578947368,111.0,,
"Alexander, Scott",5,411.6,466,106.46,109.8,,
"Burns, Chase",5,411.0,427,104.74000000000001,107.9,,
"Gipson-Long, Sawyer",8,410.9,435,109.3125,114.9,,
"Dollander, Chase",20,410.8,451,105.98333333333333,114.5,,
"Rogers, Trevor",6,410.5,451,107.11666666666667,112.2,,
"Ross, Joe",8,410.2,437,108.15,111.0,,
"Williams, Devin",5,410.2,456,105.62,113.7,,
"Weathers, Ryan",7,410.0,441,104.55714285714285,113.5,,
"Adams, Travis",6,410.0,456,108.10000000000001,113.7,,
"Clarke, Taylor",8,409.9,451,106.45,112.5,,
"Soriano, George",12,409.8,434,106.0,113.4,,
"Burnes, Corbin",7,409.7,448,104.92857142857143,110.0,,
"Mlodzinski, Carmen",8,409.6,436,105.5375,113.7,,
"Santana, Dennis",5,409.6,425,104.8,107.7,,
"Cruz, Steven",5,409.4,421,105.02000000000001,108.8,,
"May, Dustin",21,409.3,455,106.83333333333333,114.2,,
"Lucas, Easton",5,409.2,444,107.28,111.7,,
"Povich, Cade",17,409.0,458,106.4470588235294,112.1,,
"Schwellenbach, Spencer",14,409.0,442,105.53076923076924,108.6,,
"Ureña, José",8,408.6,438,106.5875,110.6,,
"Bachar, Lake",10,408.6,425,106.71,111.4,,
"Davis, Noah",7,408.4,454,105.21428571428571,111.6,,
"Hoglund, Gunnar",10,408.3,439,107.74000000000001,111.1,,
"Barlow, Scott",8,408.0,493,105.275,114.6,,
"López, Pablo",6,407.8,414,104.98333333333333,108.0,,
"Cameron, Noah",18,407.6,469,105.94999999999999,117.9,,
"Liberatore, Matthew",19,407.5,444,106.18947368421053,112.6,,
"Bednar, David",5,407.5,426,105.92,110.5,,
"Long, Sam",8,407.5,423,104.7125,112.7,,
"Milner, Hoby",6,407.0,434,105.91666666666667,115.4,,
"Anderson, Tyler",28,406.8,447,105.62857142857142,115.2,,
"Schreiber, John",10,406.6,429,105.47,108.7,,
"Thielbar, Caleb",6,406.6,419,105.1,110.7,,
"Montero, Rafael",5,406.4,416,105.35999999999999,108.0,,
"Ohtani, Shohei",5,406.4,442,105.88,110.1,,
"Suárez, Ranger",15,406.3,451,104.74,109.7,,
"Schlittler, Cam",8,406.1,443,106.5,111.5,,
"Lopez, Jacob",15,406.1,448,104.13333333333334,110.9,,
"Strahm, Matt",6,406.0,424,105.38333333333333,107.7,,
"Brown, McCade",6,405.8,441,104.95,108.2,,
"Fuentes, Didier",6,405.8,436,103.18333333333334,112.2,,
"Oviedo, Johan",6,405.8,451,105.93333333333334,112.8,,
"Ginn, J.T.",17,405.8,458,105.11176470588236,113.7,,
"Severino, Luis",16,405.8,455,104.99375,112.4,,
"Pfaadt, Brandon",27,405.6,449,105.65925925925927,112.1,,
"Márquez, Germán",26,405.4,456,104.91153846153846,114.0,,
"Vesia, Alex",9,405.3,443,105.64444444444445,113.0,,
"Lugo, Seth",28,405.2,458,106.29285714285713,115.6,,
"Wacha, Michael",18,405.1,430,106.6,113.9,,
"Brasier, Ryan",5,405.0,434,107.75,111.7,,
"Phillips, Tyler",8,405.0,424,104.9,110.0,,
"Henriquez, Ronny",8,404.9,417,105.375,108.6,,
"Zerpa, Angel",7,404.9,435,104.52857142857144,110.3,,
"Hatch, Thomas",7,404.7,447,107.85714285714286,115.7,,
"Sheehan, Emmet",7,404.7,439,104.3,109.1,,
"Abel, Mick",8,404.6,442,104.2,110.1,,
"Keller, Brad",5,404.6,426,104.7,105.9,,
"Kelly, Merrill",26,404.3,448,105.47391304347826,115.4,,
"Sauer, Matt",6,404.2,442,103.01666666666667,106.4,,
"Skubal, Tarik",21,404.0,450,105.94500000000001,111.8,,
"Ribalta, Orlando",6,404.0,451,106.06666666666666,112.7,,
"Kelly, Michael",5,404.0,456,104.84,112.7,,
"Quantrill, Cal",22,404.0,450,105.33636363636364,111.7,,
"Elder, Bryce",24,403.8,445,105.57916666666667,111.8,,
"Fitts, Richard",11,403.7,454,104.21818181818183,112.1,,
"Molina, Anthony",12,403.7,467,104.51666666666667,111.2,,
"Wrobleski, Justin",6,403.7,422,106.95,111.2,,
"Johnson, Pierce",8,403.6,438,103.825,111.7,,
"Cortes, Nestor",13,403.6,468,104.47692307692309,115.0,,
"Jackson, Luke",5,403.6,421,108.8,110.7,,
"Cantillo, Joey",12,403.3,433,105.21818181818183,110.9,,
"Spence, Mitch",16,403.2,439,106.175,113.1,,
"Smith, Shane",17,403.2,438,106.67058823529412,116.3,,
"Peterson, David",11,403.2,432,106.38181818181819,110.1,,
"Lord, Brad",17,403.0,455,105.0529411764706,114.8,,
"Falter, Bailey",19,403.0,466,105.61052631578947,114.7,,
"Mikolas, Miles",29,402.9,440,105.10689655172413,111.7,,
"Yates, Kirby",9,402.9,423,104.46666666666667,113.3,,
"McGreevy, Michael",12,402.8,432,105.85000000000001,110.8,,
"Dodd, Dylan",5,402.8,448,103.16,111.5,,
"Pivetta, Nick",24,402.7,467,106.35416666666667,115.5,,
"Junk, Janson",8,402.6,438,106.2,116.0,,
"Bird, Jake",7,402.6,439,103.71428571428571,106.5,,
"Rodriguez, Eduardo",25,402.5,438,105.46799999999999,111.9,,
"Leiter Jr., Mark",5,402.4,429,107.8,111.0,,
"Kershaw, Clayton",10,402.4,431,106.65,110.9,,
"Birdsong, Hayden",10,402.2,443,104.99000000000001,110.4,,
"Yamamoto, Yoshinobu",16,402.2,455,104.78125,117.2,,
"Herget, Jimmy",6,402.0,432,99.45,103.1,,
"Iglesias, Raisel",8,401.9,422,106.3375,109.7,,
"Rodríguez, Elvin",9,401.8,451,105.15555555555555,111.4,,
"Legumina, Casey",8,401.8,453,107.3375,112.9,,
"Lorenzen, Michael",26,401.7,454,106.14230769230768,110.9,,
"Scott, Tayler",6,401.5,429,105.39999999999999,108.7,,
"Pomeranz, Drew",6,401.5,422,103.68333333333334,108.5,,
"Sterner, Justin",10,401.5,433,105.17,112.3,,
"Kremer, Dean",22,401.5,429,104.04545454545455,111.0,,
"Banda, Anthony",11,401.5,428,104.4,109.8,,
"Heaney, Andrew",25,401.4,442,104.352,112.8,,
"Gonsolin, Tony",9,401.3,446,106.0,113.0,,
"Gallen, Zac",31,401.3,467,105.38709677419355,112.0,,
"Williams, Gavin",23,401.2,445,105.57826086956523,115.0,,
"Nelson, Ryne",18,401.2,447,103.48888888888888,112.2,,
"Brazobán, Huascar",6,401.2,431,105.16666666666667,109.9,,
"Blewett, Scott",9,401.1,427,103.95555555555556,110.7,,
"Kirby, George",19,401.1,435,106.65789473684211,113.3,,
"Jansen, Kenley",8,400.9,430,106.1125,114.8,,
"Kranick, Max",5,400.8,427,106.17999999999999,114.0,,
"Strider, Spencer",21,400.6,445,105.42,113.2,,
"Blubaugh, AJ",6,400.5,439,105.35000000000001,109.6,,
"Vásquez, Randy",17,400.4,445,105.56875,114.1,,
"Freeland, Kyle",23,400.4,452,104.00434782608696,112.8,,
"Scherzer, Max",22,400.4,434,104.84545454545454,111.8,,
"Sears, JP",31,400.4,470,103.9,113.3,,
"King, John",8,400.4,443,105.725,115.9,,
"Irvin, Jake",38,400.3,464,104.58157894736841,111.8,,
"Corbin, Patrick",21,400.2,441,103.58095238095237,111.7,,
"Gray, Sonny",27,400.2,429,104.25185185185185,111.9,,
"Mize, Casey",22,400.2,442,105.48636363636363,112.5,,
"Pressly, Ryan",6,400.2,414,103.31666666666666,108.8,,
"Bergert, Ryan",8,400.1,426,105.5375,110.9,,
"Seymour, Carson",9,400.1,453,103.6,110.0,,
"Altavilla, Dan",5,400.0,429,104.96,113.0,,
"Banks, Tanner",10,400.0,441,105.65,112.3,,
"Baker, Bryan",13,400.0,433,105.1846153846154,108.1,,
"Simpson, Josh",5,400.0,431,104.5,109.7,,
"Chivilli, Angel",14,400.0,445,105.40714285714286,112.8,,
"Peralta, Freddy",28,400.0,448,106.5076923076923,117.9,,
"Scott, Tanner",11,399.8,433,105.3,109.3,,
"Woods Richardson, Simeon",18,399.8,450,105.1,115.3,,
"Alexander, Tyler",9,399.8,432,105.3111111111111,110.1,,
"Blackburn, Paul",7,399.7,419,105.48571428571428,109.8,,
"Holton, Tyler",17,399.6,435,104.88823529411764,110.1,,
"Parker, Mitchell",25,399.6,466,104.876,112.1,,
"Brogdon, Connor",11,399.6,420,104.53636363636365,109.2,,
"Senga, Kodai",12,399.6,424,105.375,112.5,,
"Kikuchi, Yusei",24,399.5,434,105.60416666666667,112.1,,
"Ober, Bailey",30,399.4,445,104.57,112.7,,
"Speier, Gabe",7,399.4,454,105.84285714285714,111.9,,
"Roupp, Landen",11,399.4,484,106.0,115.4,,
"Alcantara, Sandy",22,399.3,433,106.12272727272726,117.9,,
"Giolito, Lucas",17,399.3,468,106.5764705882353,112.6,,
"Flaherty, Jack",24,399.3,440,104.3625,111.3,,
"Kahnle, Tommy",8,399.2,431,106.0125,110.2,,
"Gilbert, Logan",24,399.2,443,105.44583333333333,111.2,,
"Cox, Austin",9,399.2,439,103.21111111111111,109.2,,
"Sugano, Tomoyuki",34,399.2,433,106.00909090909092,116.3,,
"Bradley, Taj",19,399.2,432,104.65789473684211,113.0,,
"Miller, Mason",5,399.2,439,103.38,107.2,,
"Suter, Brent",11,399.2,425,105.46363636363635,109.6,,
"Martinez, Nick",22,399.1,432,104.42727272727274,111.2,,
"Faucher, Calvin",8,399.1,426,105.025,113.4,,
"Gaddis, Hunter",8,399.0,421,104.8625,109.7,,
"Melton, Troy",9,399.0,434,104.64444444444445,109.5,,
"Ferrer, Jose A.",5,399.0,436,105.35999999999999,108.3,,
"Akin, Keegan",10,399.0,421,105.19000000000001,110.3,,
"Estrada, Jeremiah",12,398.8,447,103.78333333333332,108.6,,
"Miller, Bryce",19,398.7,459,105.66315789473684,111.7,,
"Neris, Héctor",6,398.7,408,105.33333333333333,111.8,,
"Ogasawara, Shinnosuke",9,398.6,429,104.34444444444445,110.4,,
"Kochanowicz, Jack",22,398.5,463,104.77727272727272,116.6,,
"Soriano, José",13,398.4,427,103.44615384615385,107.5,,
"Skenes, Paul",11,398.4,437,104.51818181818182,108.6,,
"Alcala, Jorge",13,398.3,426,104.89230769230768,112.4,,
"Matz, Steven",8,398.2,435,104.9375,108.1,,
"Luzardo, Jesús",17,398.2,420,104.34705882352942,109.9,,
"Flexen, Chris",7,398.1,420,105.32857142857142,109.5,,
"Booser, Cam",8,398.1,417,105.5875,109.6,,
"Trivino, Lou",6,398.0,414,106.25,113.2,,
"Gray, Jon",5,398.0,427,107.5,115.0,,
"Hodge, Porter",9,397.9,458,102.26666666666667,106.8,,
"Hoffman, Jeff",16,397.8,432,105.38125,110.7,,
"Patrick, Chad",15,397.8,469,105.4,116.9,,
"Walter, Brandon",10,397.7,445,102.69000000000001,110.5,,
"Enns, Dietrich",6,397.7,420,104.89999999999999,108.1,,
"Ohl, Pierson",5,397.6,414,102.6,106.5,,
"Henry, Cole",7,397.4,412,104.82857142857142,106.7,,
"Fulmer, Carson",5,397.4,424,104.74000000000001,107.5,,
"Leahy, Kyle",5,397.4,419,105.3,107.6,,
"Bellozo, Valente",16,397.3,468,105.16875,116.5,,
"Morton, Charlie",23,397.3,451,104.26086956521739,114.6,,
"Uceta, Edwin",11,397.1,425,104.34545454545454,113.6,,
"Stroman, Marcus",8,396.9,442,105.475,110.7,,
"Fermin, José",8,396.9,423,105.1875,113.5,,
"Burke, Sean",24,396.9,446,105.19583333333333,111.9,,
"Beck, Tristan",7,396.9,422,104.5,111.8,,
"Springs, Jeffrey",29,396.9,463,104.13571428571429,115.3,,
