player_name,batter,hr_count,avg_hr_distance,max_hr_distance,avg_launch_speed,max_launch_speed,barrels,brl_percent
"Acuña Jr., Ronald",660670,21,418.5,468,109.2,115.5,37,15.7
"Pham, Tommy",502054,10,417.9,446,106.4,110.6,20,6.6
"Wagaman, Eric",676572,9,417.4,453,106.3,110.9,26,6.8
"Arias, Gabriel",672356,12,415.5,440,108.4,112.3,31,11.3
"Walker, Jordan",691023,6,415.3,434,108.0,112.0,26,10.9
"Beck, Jordan",687597,18,414.0,448,104.6,110.8,35,9.6
"Riley, Austin",663586,16,413.4,444,106.9,113.1,44,15.2
"Butler, Lawrence",671732,21,413.3,448,106.0,111.0,36,9.2
"Gonzalez, Romy",663853,9,413.2,457,106.4,112.6,30,12.6
"Jones, Nolan",666134,5,412.6,428,106.2,110.3,21,8.5
"McMahon, Ryan",641857,21,412.1,467,106.1,112.0,39,12.1
"Wood, James",695578,31,411.5,451,109.4,116.3,62,16.3
"Harris II, Michael",671739,20,411.4,451,104.9,112.5,45,9.1
"Witt Jr., Bobby",677951,23,411.3,456,106.7,112.3,63,12.5
"Ozuna, Marcell",542303,23,411.2,464,105.6,112.1,40,11.4
"Moniak, Mickey",666160,24,411.2,452,104.1,108.5,45,13.8
"Jeffers, Ryan",680777,9,410.8,448,105.7,108.9,20,6.3
"Adell, Jo",666176,38,410.7,454,108.4,115.7,65,17.3
"Schwarber, Kyle",656941,59,409.8,468,107.8,117.2,85,20.8
"Cruz, Oneil",665833,20,409.7,463,110.2,122.9,54,17.9
"Ramírez, Agustín",682663,21,409.7,447,107.0,112.2,47,11.0
"Gorman, Nolan",669357,14,409.2,433,106.1,111.3,20,9.1
"Turang, Brice",668930,19,408.7,444,105.0,110.4,35,7.9
"Contreras, Willson",575929,21,408.7,443,106.8,111.8,49,13.9
"Tatis Jr., Fernando",665487,25,408.6,441,107.6,112.8,51,10.9
"Burleson, Alec",676475,18,408.4,443,105.3,108.1,40,9.5
"Realmuto, J.T.",592663,13,408.2,431,106.1,110.4,33,8.8
