,batter,hr_count,avg_hr_distance,max_hr_distance,avg_launch_speed,max_launch_speed
401,681546,6,420.5,443,108.4,110.5
165,660670,21,418.5,468,109.2,115.5
117,642201,10,418.4,452,106.4,109.6
304,670541,6,418.3,436,107.4,110.6
6,502054,10,417.9,446,106.4,110.6
346,676572,9,417.4,453,106.3,110.9
464,688760,5,416.6,439,104.0,107.9
322,672356,12,415.5,440,108.4,112.3
477,691023,6,415.3,434,108.0,112.0
458,687597,18,414.0,448,104.6,110.8
295,669911,14,413.5,457,105.3,108.7
177,663586,16,413.4,444,106.9,113.1
317,671732,21,413.3,448,106.0,111.0
189,663853,9,413.2,457,106.4,112.6
25,545341,10,413.0,453,107.2,109.7
229,666134,5,412.6,428,106.2,110.3
512,695506,7,412.3,466,107.1,114.1
109,641857,21,412.1,467,106.1,112.0
440,686527,11,411.5,450,107.3,115.9
513,695578,31,411.5,451,109.4,116.3
318,671739,20,411.4,451,104.9,112.5
363,677951,23,411.3,456,106.7,112.3
18,542303,23,411.2,464,105.6,112.1
235,666160,24,411.2,452,104.1,108.5
388,680777,9,410.8,448,105.7,108.9
237,666176,38,410.7,454,108.4,115.7
531,701398,5,410.4,419,107.1,112.6
157,656941,59,409.8,468,107.8,117.2
218,665833,20,409.7,463,110.2,122.9
415,682663,21,409.7,447,107.0,112.2
273,669221,16,409.6,455,105.6,114.4
283,669357,14,409.2,433,106.1,111.3
262,668930,19,408.7,444,105.0,110.4
38,575929,21,408.7,443,106.8,111.8
211,665487,25,408.6,441,107.6,112.8
344,676475,18,408.4,443,105.3,108.1
45,592663,13,408.2,431,106.1,110.4
443,686668,15,408.0,442,105.3,109.5
92,624424,12,407.8,431,106.6,111.2
168,660821,14,407.7,439,108.2,112.1
26,545361,27,407.6,485,107.1,115.4
164,660271,62,407.5,469,109.5,120.0
90,624413,39,407.3,447,107.6,113.4
172,663330,8,407.2,451,106.1,110.9
488,691777,9,407.2,431,105.3,110.9
308,671056,19,407.2,428,107.3,113.0
42,592450,55,407.1,469,108.0,117.9
372,678877,7,407.0,450,107.4,115.3
83,621439,37,406.9,479,106.4,113.7
456,687515,7,406.8,433,107.2,111.8
66,606466,29,406.3,449,107.0,115.4
110,641933,9,406.2,445,106.7,113.6
286,669394,17,406.1,442,108.3,114.7
371,678662,9,406.1,433,103.2,109.3
303,670242,22,406.1,452,107.1,113.0
410,682622,14,405.9,444,105.2,116.7
53,596103,6,405.8,420,106.1,110.9
331,672744,8,405.8,471,106.1,112.0
461,687952,6,405.7,451,105.8,111.4
529,701350,8,405.6,428,106.4,108.6
519,696100,34,405.5,451,104.8,113.3
422,682998,31,405.4,474,105.6,111.8
153,656577,5,405.2,419,104.9,107.0
294,669743,5,405.2,453,102.7,106.3
333,672820,22,405.0,451,105.7,111.2
417,682829,23,404.9,451,107.6,117.4
118,642215,5,404.8,444,106.8,109.0
291,669707,7,404.7,422,103.6,106.3
178,663616,18,404.7,434,105.5,111.8
310,671218,22,404.7,439,106.0,112.8
395,681297,16,404.6,455,105.6,113.7
81,621043,13,404.6,458,105.5,110.0
516,695681,7,404.6,430,107.0,111.6
486,691723,11,404.5,421,105.8,108.5
15,519317,24,404.5,451,108.1,116.0
383,680718,25,404.4,448,106.9,115.7
247,666969,20,404.4,433,105.0,110.2
357,677594,38,404.3,442,107.2,113.5
22,543807,37,404.3,450,106.0,114.0
106,641598,9,404.2,437,105.2,108.7
389,680779,7,404.0,432,105.6,109.6
179,663624,7,404.0,434,108.5,114.3
245,666624,11,404.0,438,106.9,113.5
12,518692,26,403.9,451,105.1,111.6
452,687263,26,403.8,447,106.3,110.3
59,605137,22,403.8,433,107.0,112.5
158,656976,8,403.8,429,103.6,109.3
27,547180,27,403.6,448,106.4,112.9
85,621566,30,403.6,459,106.8,113.4
534,701762,37,403.6,493,105.7,114.6
442,686611,10,403.5,429,106.1,109.0
20,543510,5,403.4,434,104.3,110.3
29,553993,53,403.2,466,104.7,113.8
455,687462,11,403.2,421,103.9,106.7
78,621020,24,402.9,441,104.9,109.1
327,672640,15,402.5,446,103.1,107.9
122,642851,7,402.2,429,104.5,107.1
212,665489,31,402.2,448,107.0,114.5
515,695657,21,402.1,454,107.1,114.5
502,694374,7,402.0,438,106.8,111.0
162,657757,19,401.9,451,104.5,109.6
261,668904,13,401.8,451,104.3,110.4
396,681351,19,401.7,470,104.9,109.6
248,666971,20,401.6,439,103.5,108.5
250,667670,32,401.6,440,104.9,113.3
195,664034,7,401.4,420,105.3,107.1
362,677950,9,401.2,440,103.2,110.6
134,646240,35,401.1,442,106.5,114.5
359,677800,23,400.7,430,105.1,110.7
120,642715,30,400.6,452,104.0,110.2
16,521692,32,400.6,444,105.2,114.1
113,642133,17,400.5,440,106.3,113.1
431,683734,16,400.3,441,105.8,110.5
214,665742,43,400.3,437,106.9,115.0
96,624585,13,400.2,448,107.5,112.7
446,686780,11,400.1,429,105.2,111.7
44,592626,11,400.0,428,105.6,113.7
73,608369,22,399.7,434,106.2,114.0
337,673548,37,399.7,445,106.1,116.2
196,664040,32,399.6,458,105.0,110.5
258,668804,16,399.5,432,106.6,112.3
32,571771,10,399.4,438,105.7,111.0
239,666182,19,399.3,442,105.1,111.1
419,682985,38,399.2,471,107.6,114.3
525,700250,27,399.1,435,106.7,113.5
270,669127,32,399.0,450,105.4,111.3
171,662139,23,399.0,467,106.2,113.9
148,656305,23,399.0,450,104.7,110.7
438,686469,32,398.8,448,103.3,111.5
326,672580,16,398.7,428,103.5,108.8
543,805300,5,398.6,409,105.1,107.6
251,668227,30,398.3,445,106.1,111.8
161,657656,24,398.2,438,106.1,112.7
453,687363,6,398.0,421,101.8,106.4
10,516782,10,398.0,432,105.5,109.7
323,672386,21,398.0,432,104.0,109.3
183,663697,9,397.9,451,104.5,109.0
276,669236,5,397.8,439,104.3,109.5
449,686948,19,397.7,433,104.0,112.3
474,691016,25,397.6,445,105.3,111.7
249,667472,6,397.5,428,103.1,107.2
427,683146,20,397.4,455,106.2,115.6
278,669257,20,397.4,435,104.7,109.5
542,805249,8,397.2,434,103.1,107.4
497,694192,24,397.2,448,104.3,110.3
358,677595,6,397.2,456,103.4,110.3
312,671277,16,397.1,422,104.8,110.4
101,641343,9,396.9,443,106.1,109.2
84,621493,38,396.8,432,103.4,107.7
341,676059,17,396.8,461,104.0,110.0
242,666310,15,396.7,425,103.2,108.8
31,571657,8,396.6,422,101.4,104.8
403,681624,27,396.6,424,103.9,110.4
43,592518,29,396.4,452,105.3,114.3
65,606192,31,396.4,445,104.6,111.8
354,677347,6,396.3,434,105.3,107.0
34,571970,23,396.3,433,104.7,110.3
139,650402,17,396.3,432,104.9,110.9
432,683737,38,396.2,466,105.1,111.9
495,693304,5,396.2,427,103.1,106.5
99,630105,11,396.1,435,103.4,109.1
36,572233,27,396.1,433,105.2,113.2
397,681393,8,396.0,422,104.4,109.0
41,592206,17,395.9,445,104.4,110.2
112,642086,5,395.8,433,103.7,107.7
11,518595,6,395.5,413,102.4,105.7
412,682641,8,395.5,424,102.0,105.5
35,572191,9,395.3,464,104.9,108.7
334,673237,20,395.2,430,104.5,110.3
46,592885,29,395.2,465,105.1,112.4
484,691718,31,395.1,452,105.7,111.5
411,682626,11,395.1,452,103.6,111.3
268,669065,25,395.1,440,104.6,112.4
144,650968,5,395.0,419,102.8,108.0
530,701358,9,395.0,446,102.2,108.1
226,666018,15,394.9,467,105.1,111.1
267,669016,11,394.7,420,103.5,109.3
199,664238,12,394.6,429,104.0,107.9
263,668939,10,394.6,436,105.7,110.1
194,664023,25,394.4,434,104.1,109.3
186,663743,5,394.4,421,102.3,105.0
376,679529,32,394.4,436,104.3,110.5
508,694671,23,394.3,437,106.5,113.1
289,669477,12,394.2,423,105.3,111.6
152,656555,12,394.2,440,103.6,109.2
193,663993,18,394.2,424,104.9,109.5
181,663656,23,394.1,427,103.5,107.5
260,668901,17,393.9,427,104.2,109.7
55,596142,6,393.8,425,105.1,111.7
505,694384,12,393.8,418,101.7,106.7
524,700246,5,393.6,416,104.4,109.5
163,660162,12,393.4,439,105.4,111.9
540,702616,17,393.4,430,103.0,109.6
2,457705,13,393.2,417,103.7,106.8
328,672695,20,393.1,423,102.2,106.9
89,623993,6,393.0,409,105.4,110.4
423,683002,17,392.9,417,105.1,110.7
292,669720,16,392.9,429,103.7,111.9
105,641584,6,392.8,429,103.7,107.2
69,607208,15,392.8,426,101.6,109.3
507,694497,5,392.8,403,103.3,111.1
399,681481,28,392.5,437,105.0,112.5
387,680776,16,392.4,446,105.5,113.0
352,676914,12,392.3,454,103.2,106.2
277,669242,14,392.3,423,102.2,108.6
140,650489,11,392.3,439,103.3,110.4
230,666139,11,392.1,423,104.9,107.8
238,666181,12,392.1,425,104.9,111.4
127,643446,12,392.1,420,101.7,106.8
482,691406,46,392.1,447,105.2,114.6
143,650859,9,392.0,419,103.4,108.2
324,672515,10,392.0,411,104.9,110.3
527,700932,28,391.8,436,103.8,111.3
156,656811,18,391.6,417,103.5,107.9
207,665019,19,391.6,451,104.1,109.7
135,647304,23,391.5,450,102.4,109.7
119,642708,6,391.3,434,101.8,107.0
97,624641,12,391.3,430,103.1,110.6
21,543760,16,391.2,424,102.6,108.4
50,595879,13,390.9,410,102.8,107.5
479,691176,10,390.9,445,104.2,111.9
380,680574,15,390.9,422,103.2,107.9
532,701538,18,390.7,431,104.8,108.7
373,678882,16,390.7,426,104.3,112.1
185,663728,67,390.6,448,105.6,114.7
75,608701,9,390.6,463,105.1,111.5
517,695734,9,390.6,412,101.8,108.0
203,664770,12,390.5,420,101.5,105.0
398,681460,12,390.5,423,104.0,109.4
160,657557,6,390.2,418,103.8,107.6
197,664056,17,390.1,446,103.6,110.7
437,686217,12,390.1,422,101.5,107.0
394,681082,14,390.1,441,103.7,108.8
49,595777,14,390.0,437,101.7,108.9
52,596019,31,389.9,425,103.8,111.5
496,693307,14,389.9,410,103.8,109.0
472,690993,13,389.7,450,104.9,109.6
538,702332,11,389.6,419,100.9,104.5
60,605141,20,389.6,412,101.4,106.9
47,593428,11,389.4,424,102.2,109.2
223,665926,10,389.3,422,102.4,106.6
290,669701,10,388.6,409,104.3,106.6
385,680737,5,388.6,407,102.6,104.1
56,596146,18,388.6,422,104.7,111.8
187,663757,34,388.5,432,102.8,108.6
37,573262,18,388.4,432,102.5,109.3
7,502671,10,388.3,425,106.3,111.0
254,668715,21,388.1,439,102.0,106.1
478,691026,9,388.1,403,101.6,107.1
170,661388,19,388.1,441,104.2,112.4
174,663457,13,388.1,418,104.4,113.0
306,670764,5,388.0,401,100.9,101.2
54,596115,26,387.7,431,104.0,110.8
220,665862,33,387.5,442,105.6,110.9
404,681715,10,387.5,426,103.9,111.9
335,673357,16,387.4,441,105.5,114.2
68,607043,26,387.4,417,103.5,109.6
61,605170,12,387.4,423,102.7,107.7
225,665966,15,387.3,434,103.8,108.7
408,682177,12,387.3,408,103.9,111.2
454,687401,7,387.0,414,103.1,109.1
393,680977,10,386.9,404,104.7,109.6
418,682928,19,386.8,428,104.4,112.7
190,663886,13,386.8,435,102.9,106.4
136,647351,7,386.7,408,102.5,106.3
338,673962,14,386.7,414,102.7,109.2
102,641355,31,386.7,451,102.4,108.3
361,677942,7,386.6,411,101.7,107.5
551,807713,13,386.5,404,101.8,107.6
146,656180,8,386.5,405,104.0,109.6
5,500743,8,386.2,402,102.6,105.8
123,643217,20,386.2,425,104.0,108.5
202,664761,11,386.1,433,101.9,107.2
28,553869,9,386.0,413,103.7,108.7
19,543309,11,385.7,421,100.9,107.3
71,608324,18,385.6,418,101.4,106.9
253,668709,15,385.6,428,102.1,109.0
72,608348,18,385.6,418,102.6,106.4
307,670770,14,385.3,415,100.5,105.0
332,672761,13,385.2,413,102.0,107.3
300,670223,8,384.9,421,101.9,106.5
320,672275,7,384.5,414,102.4,106.5
124,643289,7,384.4,402,99.7,103.2
343,676391,10,384.4,409,99.7,105.4
155,656775,17,384.1,408,102.0,108.4
355,677587,7,383.7,393,101.3,105.5
424,683011,22,383.7,442,102.6,110.1
9,514888,26,383.7,439,103.2,109.2
523,700242,6,383.5,402,101.8,105.0
447,686797,16,383.4,430,101.3,108.0
463,688363,5,383.4,403,101.5,107.9
95,624512,9,383.3,432,100.9,105.7
48,593871,30,382.9,423,103.1,110.4
546,805779,13,382.8,420,100.7,106.4
30,571448,12,382.8,400,100.8,104.4
210,665161,18,382.8,424,102.8,107.7
475,691019,8,382.6,413,104.2,113.7
103,641487,13,382.3,417,101.8,108.6
227,666023,6,382.0,406,102.8,107.1
233,666152,6,382.0,411,104.6,107.9
175,663538,8,381.8,412,99.7,103.8
366,678246,17,381.6,422,101.4,107.9
107,641680,11,381.5,417,100.3,107.4
274,669224,24,381.4,423,103.9,111.5
554,808982,8,381.2,406,100.2,105.4
137,649966,8,380.9,419,101.7,106.8
386,680757,11,380.7,431,100.1,104.2
4,467793,12,380.6,418,104.2,109.6
58,602104,12,380.5,410,102.8,108.7
